id_partido	team	minutes	dorsal	jugador	titular	suplente
3872564	away	26	16	Arturo	False	True
3872564	away	0	17	Manuel	False	True
3872564	away	26	18	Iker	False	True
3872565	home	90	1	Martin	True	False
3872565	home	90	2	Gnamadio	True	False
3872565	home	86	3	Corral	True	False
3872565	home	90	4	Criado	True	False
3872565	home	90	5	Gordo	True	False
3872565	home	70	6	Berzal	True	False
3872565	home	80	7	Cabezas	True	False
3872565	home	90	8	Garcia	True	False
3872565	home	71	9	Hordijk	True	False
3872565	home	90	10	Almuzara	True	False
3872565	home	90	11	Tallal	True	False
3872565	away	90	1	Fernandez	True	False
3872565	away	90	2	Sanchez	True	False
3872565	away	90	3	Flores	True	False
3872565	away	90	4	Ciriero	True	False
3872565	away	90	5	Muñoz	True	False
3872565	away	86	6	Muñoz	True	False
3872565	away	55	7	Rosa	True	False
3872565	away	71	8	Martin	True	False
3872565	away	55	9	Mora	True	False
3872565	away	90	10	Roman	True	False
3872565	away	86	11	Bote	True	False
3872565	home	4	12	Daniel	False	True
3872565	home	0	13	Cruz	False	True
3872565	home	0	14	Fernandez	False	True
3872565	home	20	15	Rodriguez	False	True
3872565	home	0	16	Victor	False	True
3872565	home	19	17	Cabezas	False	True
3872565	home	10	18	Herrero	False	True
3872565	away	19	12	Borrego	False	True
3872565	away	0	13	Gonzalez	False	True
3872565	away	35	14	Silgado	False	True
3872565	away	4	15	Coello	False	True
3872565	away	0	16	Peña	False	True
3872565	away	35	17	Vivas	False	True
3872565	away	4	18	Casado	False	True
3872566	home	90	1	Alejandro	True	False
3872566	home	90	2	Riera	True	False
3872566	home	90	3	Asensio	True	False
3872566	home	90	4	Fernandez	True	False
3872566	home	90	5	Casillas	True	False
3872566	home	82	6	Neil	True	False
3872566	home	73	7	Morales	True	False
3872566	home	90	8	Garcia	True	False
3872566	home	65	9	Bandín	True	False
3872566	home	82	10	Jorge	True	False
3872566	home	65	11	Alvaro	True	False
3872566	away	90	4	Boñar	True	False
3872566	away	90	5	Martinez	True	False
3872566	away	46	6	Jorge	True	False
3872566	away	90	10	Fabian	True	False
3872566	away	63	11	Alvaro	True	False
3872566	away	90	13	Esquivel	True	False
3872566	away	63	16	Sergio	True	False
3872566	away	90	17	Niño	True	False
3872566	away	90	18	Enmanuel	True	False
3872566	away	85	19	Raihani	True	False
3872566	away	63	20	Diaz	True	False
3872566	home	17	12	Chang Sang	False	True
3872566	home	0	13	Malpartida	False	True
3872566	home	8	14	Jardon	False	True
3872566	home	25	15	Lopez	False	True
3872566	home	25	16	Foldi	False	True
3872566	home	0	17	Gallardo	False	True
3872566	home	8	18	Sanchez	False	True
3872566	away	0	1	Sergio	False	True
3872566	away	27	3	Gonzalez	False	True
3872566	away	27	8	Gomez	False	True
3872566	away	27	9	Denia	False	True
3872566	away	44	14	Javier	False	True
3872566	away	0	21	Vasiljevic	False	True
3872566	away	5	22	Francisco	False	True
3872567	home	90	1	Blanco	True	False
3872567	home	90	4	Raul Martin	True	False
3872567	home	90	6	Del Olmo	True	False
3872567	home	70	8	Llorente	True	False
3872567	home	90	11	Pujol	True	False
3872567	home	62	16	Ortueta	True	False
3872567	home	77	19	Greciano	True	False
3872567	home	70	20	Javier	True	False
3872567	home	90	23	Garcia	True	False
3872567	home	90	25	Herranz	True	False
3872567	home	62	26	Fernandez	True	False
3872567	away	90	1	Rios	True	False
3872567	away	90	2	Requena	True	False
3872567	away	90	3	Rodriguez	True	False
3872567	away	90	4	Alba	True	False
3872567	away	90	5	Silva	True	False
3872567	away	87	7	Sierra	True	False
3872567	away	89	8	Pacheco	True	False
3872567	away	90	9	Sevillano	True	False
3872567	away	87	10	Arevalo	True	False
3872567	away	77	11	Calvo	True	False
3872567	away	90	16	Martinez	True	False
3872567	home	0	2	Alberto	False	True
3872567	home	28	9	Perez	False	True
3872567	home	20	12	Martin	False	True
3872567	home	13	17	Soto	False	True
3872567	home	28	18	Kawecki	False	True
3872567	home	20	21	Guerrero	False	True
3872567	home	0	22	Benito De Valle	False	True
3872567	away	1	12	Daniel	False	True
3872567	away	0	13	Rubio	False	True
3872567	away	3	17	Redondo	False	True
3872567	away	3	18	Simion	False	True
3872567	away	0	20	Morales	False	True
3872567	away	13	21	Sanchez	False	True
3872568	home	90	1	Gonzalo	True	False
3872568	home	90	2	Miguel	True	False
3872568	home	90	3	Hugo	True	False
3872568	home	67	4	Daniel	True	False
3872568	home	90	5	Iago	True	False
3872568	home	90	6	Jesus	True	False
3872568	home	77	7	Nico	True	False
3872568	home	90	8	Jorge	True	False
3872568	home	67	9	Alexander	True	False
3872568	home	50	10	Alejandro	True	False
3872568	home	46	11	De Azevedo	True	False
3872568	away	90	1	Alejandro	True	False
3872568	away	90	2	Guillermo	True	False
3872568	away	90	3	Iker	True	False
3872568	away	90	5	Alberto	True	False
3872568	away	72	6	Brian	True	False
3872568	away	75	7	Mario	True	False
3872568	away	90	8	Raúl	True	False
3872568	away	90	9	Iker	True	False
3872568	away	90	10	Victor	True	False
3872568	away	72	11	Santiago	True	False
3872568	away	90	25	Adrian	True	False
3872568	home	23	12	Ribeiro	False	True
3872568	home	0	13	Fernando	False	True
3872568	home	0	14	Cristian	False	True
3872568	home	23	15	Pros	False	True
3872568	home	44	16	Hector Nieto	False	True
3872568	home	40	17	Van Wesemael	False	True
3872568	home	13	18	Sergio	False	True
3872568	away	0	12	Mario	False	True
3872568	away	0	13	Dario	False	True
3872568	away	0	14	Sergio M.	False	True
3872568	away	0	15	Raul	False	True
3872568	away	18	16	Angel	False	True
3872568	away	15	17	Daniel	False	True
3872568	away	18	18	David	False	True
3872569	home	90	1	Ramos	True	False
3872569	home	77	2	Lopez	True	False
3872569	home	90	3	Robles	True	False
3872569	home	90	4	De Las Sias	True	False
3872569	home	90	5	De Sancha	True	False
3872569	home	90	6	Mogollon	True	False
3872569	home	68	7	Sanchez	True	False
3872569	home	77	8	Ybarra	True	False
3872569	home	77	9	Nater	True	False
3872569	home	85	10	Perera	True	False
3872569	home	90	11	Torres	True	False
3872569	away	90	1	Perez	True	False
3872569	away	62	4	Izquierdo	True	False
3872569	away	45	9	Gonzalez	True	False
3872569	away	90	14	Molina	True	False
3872569	away	90	16	Pattichis	True	False
3872569	away	74	17	Rodriguez	True	False
3872569	away	90	18	Themistokleousa	True	False
3872569	away	90	21	Palacios	True	False
3872569	away	80	22	Lopez	True	False
3872569	away	90	23	Sanchez	True	False
3872569	away	62	26	Corchero	True	False
3872569	home	13	12	Joan Javier	False	True
3872569	home	0	13	Calado	False	True
3872569	home	13	14	Facundo	False	True
3872569	home	0	15	Marcos	False	True
3872569	home	22	16	Becerra	False	True
3872569	home	13	17	Alonso	False	True
3872569	home	5	18	Moraga	False	True
3872569	away	28	5	Lozano	False	True
3872569	away	16	6	Barroso	False	True
3872569	away	0	7	Tamudo	False	True
3872569	away	45	8	Rojas	False	True
3872569	away	28	11	Conejero	False	True
3872569	away	0	25	Jaramillo	False	True
3872569	away	10	28	Andrade	False	True
3872570	home	90	1	Hernandez	True	False
3872570	home	90	2	Garcia	True	False
3872570	home	90	3	Salas	True	False
